"""Solidarity"" Szczecin?€?Goleni??w Airport;""SZZ"";""Szczecin"";""Szczecin""",,,,,,,
"??abljak Airport;""ZBK"";""??abljak"";""??abljak""",,,,,,,#NAME?
"??anakkale Airport;""CKZ"";""??anakkale"";""??anakkale""",,,,,,,
"??bidos Airport;""OBI"";""??bidos"";""??bidos""",,,,,,,
"??iauliai International Airport;""SQQ"";""??iauliai"";""??iauliai""",,,,,,,
"??ilina Airport;""ILZ"";""??ilina"";""??ilina""",,,,,,,
"??lafsfj??r??ur Airport;""OFJ"";""??lafsfj??r??ur"";""??lafsfj??r??ur""",,,,,,,
"??lamos Airport;""XAL"";""??lamos"";""??lamos""",,,,,,,
"??le Art ?€? Waala Airport;""BMY"";""Waala"";""Waala""",,,,,,,
"??le des Pins Airport;""ILP"";""??le des Pins"";""??le des Pins""",,,,,,,
"??les-de-la-Madeleine Airport;""YGR"";""Les ??les-de-la-Madeleine"";""Les ??les-de-la-Madeleine""",,,,,,,
"??lesund Airport, Vigra;""AES"";""??lesund"";""??lesund""",,,,,,,
"??lgii Airport;""ULG"";""??lgii"";""??lgii""",,,,,,,
"??nd??rkhaan Airport;""UNR"";""??nd??rkhaan"";""??nd??rkhaan""",,,,,,,
"??ngel Albino Corzo International Airport;""TGZ"";""Tuxtla Guti??rrez"";""Tuxtla Guti??rrez""",,,,,,,
"??ngelholm?€?Helsingborg Airport;""AGH"";""??ngelholm"";""??ngelholm""",,,,,,,
"??ngelo Ponzoni Municipal Airport;""VIA"";""Videira"";""Videira""",,,,,,,
"??pinal ?€? Mirecourt Airport;""EPL"";""??pinal"";""??pinal""",,,,,,,
"??r??mqi Diwopu International Airport;""URC"";""??r??mqi"";""??r??mqi""",,,,,,,
"??re ??stersund Airport;""OSD"";""??stersund"";""??stersund""",,,,,,,
"??rebro Airport;""ORB"";""??rebro"";""??rebro""",,,,,,,
"??rland Airport;""OLA"";""??rland"";""??rland""",,,,,,,
"??rnsk??ldsvik Airport;""OER"";""??rnsk??ldsvik"";""??rnsk??ldsvik""",,,,,,,
"??rsta?€?Volda Airport, Hovden;""HOV"";""??rsta"";""??rsta""",,,,,,,
"??safj??r??ur Airport;""IFJ"";""??safj??r??ur"";""??safj??r??ur""",,,,,,,
"??tila Airport;""UII"";""??tila"";""??tila""",,,,,,,
"??vreux-Fauville Air Base;""EVX"";""??vreux"";""??vreux""",,,,,,,
"A Coru??a Airport;""LCG"";""A Coru??a"";""A Coru??a""",,,,,,,
"A.J. Eisenberg Airport;""ODW"";""Oak Harbor"";""Oak Harbor""",,,,,,,
"A.L. Mangham Jr. Regional Airport;""OCH"";""Nacogdoches"";""Nacogdoches""",,,,,,,
"A.P. Hill Army Airfield;""APH"";""Fort A.P. Hill"";""Fort A.P. Hill""",,,,,,,
"Aalborg Airport;""AAL"";""Aalborg"";""Aalborg""",,,,,,,
"Aarhus Airport;""AAR"";""Aarhus"";""Aarhus""",,,,,,,
"Aasiaat Airport;""JEG"";""Aasiaat"";""Aasiaat""",,,,,,,
"Ab??ch?? Airport;""AEH"";""Ab??ch??"";""Ab??ch??""",,,,,,,
"Aba Segud Airport;""JIM"";""Jimma"";""Jimma""",,,,,,,
"Aba Tenna Dejazmach Yilma International Airport;""DIR"";""Dire Dawa"";""Dire Dawa""",,,,,,,
"Abadan International Airport;""ABD"";""Abadan"";""Abadan""",,,,,,,
"Abaiang Atoll Airport;""ABF"";""Abaiang"";""Abaiang""",,,,,,,
"Abakan International Airport;""ABA"";""Abakan"";""Abakan""",,,,,,,
"Abau Airport;""ABW"";""Abau"";""Abau""",,,,,,,
"Abbaye Airport;""BGH"";""Bogu??"";""Bogu??""",,,,,,,
"Abbotsford International Airport;""YXX"";""Abbotsford"";""Abbotsford""",,,,,,,
"Abbs Airport;""EAB"";""Abbs"";""Abbs""",,,,,,,
"Abdelhafid Boussouf Bou Chekif Airport;""TID"";""Tiaret"";""Tiaret""",,,,,,,
"Abdul Rachman Saleh Airport;""MLG"";""Malang"";""Malang""",,,,,,,
"Abdullahi Yusuf International Airport;""GLK"";""Galkayo"";""Galkayo""",,,,,,,
"Abeid Amani Karume International Airport;""ZNZ"";""Zanzibar"";""Zanzibar""",,,,,,,
"Abel Santamar??a Airport;""SNU"";""Santa Clara"";""Santa Clara""",,,,,,,
"Abemama Atoll Airport;""AEA"";""Abemama Atoll"";""Abemama Atoll""",,,,,,,
"Abengourou Airport;""OGO"";""Abengourou"";""Abengourou""",,,,,,,
